,Data,Value
0,"255,255,255,...,255,255,255",decimal
1,"255,255,255,...,255,255,255",decimal
2,"255,255,255,...,255,255,255",decimal
3,"255,255,255,...,255,255,255",decimal
4,"255,255,255,...,255,255,255",decimal
5,"255,255,255,...,255,255,255",decimal
6,"255,255,255,...,255,255,255",decimal
7,"255,255,255,...,255,255,255",decimal
8,"255,255,255,...,255,255,255",decimal
9,"255,255,255,...,255,255,255",decimal
10,"255,255,255,...,,93,,93,,93",decimal
11,"255,255,255,...,255,255,255",decimal
12,"255,255,255,...,255,255,255",decimal
13,"255,255,255,...,255,255,255",decimal
14,"255,255,255,...,255,255,255",decimal
15,"255,255,255,...,255,255,255",decimal
16,"255,255,255,...,255,255,255",decimal
17,"255,255,255,...,255,255,255",decimal
18,"255,255,255,...,255,255,255",decimal
19,"255,255,255,...,255,255,255",decimal
20,"255,255,255,...,255,255,255",decimal
21,"255,255,255,...,,93,,93,,93",decimal
22,"255,255,255,...,255,255,255",decimal
23,"255,255,255,...,255,255,255",decimal
24,"255,255,255,...,255,255,255",decimal
25,"255,255,255,...,255,255,255",decimal
26,"255,255,255,...,255,255,255",decimal
27,"255,255,255,...,255,255,255",decimal
28,"255,255,255,...,255,255,255",decimal
29,"255,255,255,...,255,255,255",decimal
30,"255,255,255,...,255,255,255",decimal
31,"255,255,255,...,255,255,255",decimal
32,"255,255,255,...,255,255,255",decimal
33,"255,255,255,...,255,255,255",decimal
34,"255,255,255,...,255,255,255",decimal
35,"255,255,255,...,255,255,255",decimal
36,"255,255,255,...,255,255,255",decimal
37,"255,255,255,...,255,255,255",decimal
38,"255,255,255,...,255,255,255",decimal
39,"255,255,255,...,255,255,255",decimal
40,"255,255,255,...,255,255,255",decimal
41,"255,255,255,...,255,255,255",decimal
42,"255,255,255,...,255,255,255",decimal
43,"255,255,255,...,255,255,255",decimal
44,"255,255,255,...,255,255,255",decimal
45,"255,255,255,...,255,255,255",decimal
46,"255,255,255,...,255,255,255",decimal
47,"255,255,255,...,255,255,255",decimal
48,"255,255,255,...,255,255,255",decimal
49,"255,255,255,...,255,255,255",decimal
50,"255,255,255,...,255,255,255",decimal
51,"255,255,255,...,255,255,255",decimal
52,"255,255,255,...,255,255,255",decimal
53,"255,255,255,...,255,255,255",decimal
54,"255,255,255,...,255,255,255",decimal
55,"255,255,255,...,255,255,255",decimal
56,"255,255,255,...,255,255,255",decimal
57,"255,255,255,...,255,255,255",decimal
58,"255,255,255,...,255,255,255",decimal
59,"255,255,255,...,255,255,255",decimal
60,"255,255,255,...,255,255,255",decimal
61,"255,255,255,...,255,255,255",decimal
62,"255,255,255,...,255,255,255",decimal
63,"255,255,255,...,255,255,255",decimal
64,"255,255,255,...,255,255,255",decimal
65,"255,255,255,...,255,255,255",decimal
66,"255,255,255,...,255,255,255",decimal
67,"255,255,255,...,255,255,255",decimal
68,"255,255,255,...,255,255,255",decimal
69,"255,255,255,...,255,255,255",decimal
70,"255,255,255,...,255,255,255",decimal
71,"255,255,255,...,255,255,255",decimal
72,"255,255,255,...,255,255,255",decimal
73,"255,255,255,...,255,255,255",decimal
74,"255,255,255,...,255,255,255",decimal
75,"255,255,255,...,255,255,255",decimal
76,"255,255,255,...,255,255,255",decimal
77,"255,255,255,...,255,255,255",decimal
78,"255,255,255,...,255,255,255",decimal
79,"255,255,255,...,255,255,255",decimal
80,"255,255,255,...,255,255,255",decimal
81,"255,255,255,...,255,255,255",decimal
82,"255,255,255,...,255,255,255",decimal
83,"255,255,255,...,255,255,255",decimal
84,"255,255,255,...,255,255,255",decimal
85,"255,255,255,...,255,255,255",decimal
86,"255,255,255,...,,93,,93,,93",decimal
87,"255,255,255,...,255,255,255",decimal
88,"255,255,255,...,255,255,255",decimal
89,"255,255,255,...,255,255,255",decimal
90,"255,255,255,...,255,255,255",decimal
91,"255,255,255,...,255,255,255",decimal
92,"255,255,255,...,255,255,255",decimal
93,"255,255,255,...,255,255,255",decimal
94,"255,255,255,...,255,255,255",decimal
95,"255,255,255,...,255,255,255",decimal
96,"255,255,255,...,255,255,255",decimal
97,"255,255,255,...,255,255,255",decimal
98,"255,255,255,...,255,255,255",decimal
99,"255,255,255,...,255,255,255",decimal
100,"255,255,255,...,255,255,255",decimal
101,"255,255,255,...,255,255,255",decimal
102,"255,255,255,...,255,255,255",decimal
103,"255,255,255,...,255,255,255",decimal
104,"255,255,255,...,255,255,255",decimal
105,"255,255,255,...,255,255,255",decimal
106,"255,255,255,...,255,255,255",decimal
107,"255,255,255,...,255,255,255",decimal
108,"255,255,255,...,255,255,255",decimal
109,"255,255,255,...,255,255,255",decimal
110,"255,255,255,...,255,255,255",decimal
111,"255,255,255,...,255,255,255",decimal
112,"255,255,255,...,255,255,255",decimal
113,"255,255,255,...,255,255,255",decimal
114,"255,255,255,...,255,255,255",decimal
115,"255,255,255,...,255,255,255",decimal
116,"255,255,255,...,255,255,255",decimal
117,"255,255,255,...,255,255,255",decimal
118,"255,255,255,...,255,255,255",decimal
119,"255,255,255,...,255,255,255",decimal
120,"255,255,255,...,255,255,255",decimal
121,"255,255,255,...,252,252,252",decimal
122,"255,255,255,...,255,255,255",decimal
123,"255,255,255,...,255,255,255",decimal
124,"255,255,255,...,255,255,255",decimal
125,"255,255,255,...,255,255,255",decimal
126,"255,255,255,...,255,255,255",decimal
127,"255,255,255,...,255,255,255",decimal
128,"255,255,255,...,255,255,255",decimal
129,"255,255,255,...,255,255,255",decimal
130,"255,255,255,...,255,255,255",decimal
131,"255,255,255,...,255,255,255",decimal
132,"255,255,255,...,255,255,255",decimal
133,"255,255,255,...,255,255,255",decimal
134,"255,255,255,...,255,255,255",decimal
135,"255,255,255,...,255,255,255",decimal
136,"255,255,255,...,255,255,255",decimal
137,"255,255,255,...,255,255,255",decimal
138,"255,255,255,...,255,255,255",decimal
139,"255,255,255,...,255,255,255",decimal
140,"255,255,255,...,255,255,255",decimal
141,"255,255,255,...,255,255,255",decimal
142,"255,255,255,...,255,255,255",decimal
143,"255,255,255,...,255,255,255",decimal
144,"255,255,255,...,255,255,255",decimal
145,"255,255,255,...,255,255,255",decimal
146,"255,255,255,...,255,255,255",decimal
